"name","college_team","college_conference","position","height","weight","season_before_draft","passing_completions","passing_att","completion_pct","passing_yds","passing_td","passing_int","passing_ypa","rushing_car","rushing_yds","rushing_td","rushing_ypc","regular_season_games","regular_season_wins","regular_season_losses","postseason_games","postseason_wins","postseason_losses","forty","bench","vertical","broad_jump","cone","shuttle","attended_combine","Rk","Conf","AP.Rank","W","L","OSRS","DSRS","SRS","Off","Def","Off.1","Def.1","Off.2","Def.2","Off.3","Def.3","passing_yds_pg","passing_td_pg","passing_completions_pg","rushing_yds_pg","passing_int_pg","pred_pick_lm","prob_1st_round_rf","prob_1st_round_logit"
"Fernando Mendoza","Indiana","Big Ten","Quarterback",77,225,2025,273,379,0.72,3535,41,6,9.3,90,276,7,3.1,13,13,0,3,3,0,NA,NA,NA,NA,NA,NA,"Y",1,"Big Ten",1,16,0,10.06,15.42,25.48,64.98,-9.07,11.9,3.97,7.03,1.32,8.85,2.92,271.923076923077,3.15384615384615,21,21.2307692307692,0.461538461538462,8.34150492871419,0.674,0.836309380214523
"Ty Simpson","Alabama","SEC","Quarterback",74,208,2025,305,473,0.645,3567,28,5,7.5,90,93,5,1,13,10,3,2,1,1,NA,NA,NA,NA,NA,NA,"Y",15,"SEC",9,11,4,5.53,7.77,13.3,53.35,-1.45,9.78,4.25,5.75,1.96,7.77,3.05,274.384615384615,2.15384615384615,23.4615384615385,7.15384615384615,0.384615384615385,132.412827089034,0.152,0.133816109570127
"Garrett Nussmeier","LSU","SEC","Quarterback",75,200,2025,194,288,0.674,1927,12,5,6.7,29,-57,1,-2,13,7,6,0,0,0,NA,NA,NA,NA,NA,NA,"Y",39,"SEC",NA,7,6,-0.44,7.45,7,43.32,-0.71,8.7,4.18,5.27,2.01,7.04,3.08,148.230769230769,0.923076923076923,14.9230769230769,-4.38461538461539,0.384615384615385,169.771920390528,0.152,0.0310903632283307
"Carson Beck","Miami","ACC","Quarterback",76,220,2025,338,467,0.724,3813,30,12,8.2,62,43,2,0.7,12,10,2,3,2,1,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,-6.5,NA,-12.565,NA,NA,NA,NA,NA,NA,NA,NA,317.75,2.5,28.1666666666667,3.58333333333333,1,126.293371311526,0.242,0.0609575051687339
"Cade Klubnik","Clemson","ACC","Quarterback",74,210,2025,257,392,0.656,2943,16,6,7.5,83,94,4,1.1,13,7,6,0,0,0,NA,NA,NA,NA,NA,NA,"Y",44,"ACC",NA,7,6,2.25,4.17,6.42,45.52,2.78,9.1,4.79,5.43,2.19,7.36,3.7,226.384615384615,1.23076923076923,19.7692307692308,7.23076923076923,0.461538461538462,164.608552566699,0.036,0.0465862605959481
"Sawyer Robertson","Baylor","Big 12","Quarterback",76,220,2025,304,504,0.603,3681,31,12,7.3,56,17,3,0.3,12,5,7,0,0,0,4.64,NA,37.5,123,7.45,4.46,"Y",62,"Big 12",NA,5,7,8.19,-5.96,2.23,50.36,13.76,9.14,5.06,6.02,2.99,7.7,3.87,306.75,2.58333333333333,25.3333333333333,1.41666666666667,1,127.325227220768,0.248,0.105320919869242
"Taylen Green","Arkansas","SEC","Quarterback",78,230,2025,198,326,0.607,2714,19,11,8.3,139,777,8,5.6,12,2,10,0,0,0,4.36,NA,43.5,134,NA,NA,"Y",65,"SEC",NA,2,10,7.75,-5.57,2.18,53.47,11.89,10.42,6.39,7.67,2.9,8.92,4.38,226.166666666667,1.58333333333333,16.5,64.75,0.916666666666667,91.7141693462022,0.186,0.257975425017329
"Diego Pavia","Vanderbilt","SEC","Quarterback",72,207,2025,267,378,0.706,3539,29,8,9.4,167,862,10,5.2,13,10,3,0,0,0,NA,NA,NA,NA,NA,NA,"Y",13,"SEC",15,10,3,12.28,2.38,14.67,58.42,4.3,11.39,5.43,7.61,2.08,9.43,3.94,272.230769230769,2.23076923076923,20.5384615384615,66.3076923076923,0.615384615384615,109.442689138624,0.168,0.312246700455645
"Jalon Daniels","Kansas","Big 12","Quarterback",72,220,2025,198,319,0.621,2531,22,7,7.9,117,404,4,3.5,12,5,7,0,0,0,4.65,NA,NA,NA,NA,NA,"Y",59,"Big 12",NA,5,7,4.81,-1.93,2.88,47.96,8.14,9.85,5.66,6.57,2.85,7.99,4.18,210.916666666667,1.83333333333333,16.5,33.6666666666667,0.583333333333333,144.421991458488,0.026,0.0905893574057586
"Luke Altmyer","Illinois","Big Ten","Quarterback",74,205,2025,246,365,0.674,3007,22,5,8.2,100,242,13,2.4,13,9,4,0,0,0,4.72,NA,32,114,NA,NA,"Y",19,"Big Ten",NA,9,4,5.56,6.23,11.79,50.74,2.12,10.15,4.17,5.49,2.36,7.46,3.42,231.307692307692,1.69230769230769,18.9230769230769,18.6153846153846,0.384615384615385,137.399126305963,0.048,0.107761719088449
"Behren Morton","Texas Tech","Big 12","Quarterback",74,210,2025,219,332,0.66,2780,22,6,8.4,43,-113,0,-2.6,13,12,1,1,0,1,NA,NA,NA,NA,NA,NA,"Y",4,"Big 12",7,12,2,6.67,14.39,21.06,57.51,-6.47,9.84,3.69,6.32,0.37,7.91,2.22,213.846153846154,1.69230769230769,16.8461538461538,-8.69230769230769,0.461538461538462,118.062368346126,0.252,0.21697351133782
"Miller Moss","Louisville","ACC","Quarterback",74,205,2025,244,380,0.642,2679,16,7,7.1,54,-65,9,-0.7,13,9,4,0,0,0,NA,NA,NA,NA,NA,NA,"N",28,"ACC",NA,9,4,5.38,3.86,9.23,49.04,3.47,8.74,4.3,7.02,2.18,7.79,3.19,206.076923076923,1.23076923076923,18.7692307692308,-5,0.538461538461538,231.741940036811,0.022,8.30208120264928e-09
"Mark Gronowski","Iowa","Big Ten","Quarterback",74,230,2025,166,262,0.634,1741,10,7,6.6,130,545,16,4.2,13,9,4,0,0,0,NA,NA,NA,NA,NA,NA,"N",14,"Big Ten",17,9,4,4.06,9.8,13.86,49.35,-4.96,8.36,3.64,6.01,1.88,6.78,2.84,133.923076923077,0.769230769230769,12.7692307692308,41.9230769230769,0.538461538461538,176.231996196396,0.522,6.69483102989029e-08
"Joey Aguilar","Tennessee","SEC","Quarterback",75,225,2025,272,404,0.673,3565,24,10,8.8,71,101,4,1.4,13,8,5,0,0,0,NA,NA,NA,NA,NA,NA,"Y",29,"SEC",NA,8,5,12.67,-3.59,9.08,58.2,10.05,10.34,5.25,6.29,2.65,8.14,3.89,274.230769230769,1.84615384615385,20.9230769230769,7.76923076923077,0.769230769230769,126.141311388511,0.142,0.133292018398215
