,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
46,Iowa State,Big 12,,6,7,-1.69,7.09,5.40,41.45,3.39,7.37,5.73,5.34,3.16,6.40,4.33
47,Georgia Tech,ACC (Coastal),,7,7,5.42,-0.24,5.18,49.55,12.54,11.13,5.26,6.29,3.54,7.48,4.32
48,Arkansas State,Sun Belt,,10,3,2.53,2.41,4.94,46.65,11.42,9.36,5.65,5.57,3.26,7.24,4.39
49,Washington,Pac-12 (North),,7,6,-1.29,6.19,4.90,40.92,7.47,8.09,4.99,4.92,3.72,6.46,4.15
50,Northern Illinois,MAC (West),22,12,2,1.94,2.70,4.64,46.93,11.21,8.43,5.70,5.70,2.76,6.93,4.04
51,North Carolina,ACC (Coastal),,8,4,5.93,-1.41,4.52,51.81,14.44,9.29,5.56,5.68,3.43,7.46,4.38
52,Miami (FL),ACC (Coastal),,7,5,6.15,-2.08,4.07,48.04,15.43,9.75,5.75,5.72,4.17,7.86,4.85
53,Tennessee,SEC (East),,5,7,12.79,-8.72,4.07,54.84,20.10,9.79,5.81,5.92,3.89,7.99,4.81
54,West Virginia,Big 12,,7,6,10.42,-6.39,4.03,55.56,18.55,9.44,7.68,5.85,2.82,7.78,4.90
55,Rutgers,Big East,,9,4,-6.36,10.27,3.91,33.74,3.38,7.75,5.41,4.51,2.15,6.13,3.61
56,Louisiana,Sun Belt,,9,4,5.44,-1.99,3.45,47.66,16.50,9.78,6.65,5.97,3.61,7.72,5.03
57,Virginia Tech,ACC (Coastal),,7,6,-0.75,3.89,3.13,40.59,8.24,8.58,4.32,4.60,2.76,6.44,3.45
58,Kent State,MAC (East),,11,3,4.10,-1.35,2.75,42.97,16.08,7.14,6.73,5.90,3.24,6.52,4.91
59,San Diego State,MWC,,9,4,3.01,-0.31,2.69,44.00,13.92,8.46,5.78,5.41,3.23,6.69,4.45
60,Utah,Pac-12 (South),,5,7,-0.37,2.88,2.51,42.76,9.33,8.22,5.50,4.39,3.11,6.16,4.11
61,Arkansas,SEC (West),,4,8,0.72,1.68,2.40,43.18,13.99,9.74,6.62,5.42,2.28,7.80,4.46
62,Pitt,Big East,,6,7,-0.37,2.43,2.05,41.48,10.77,9.72,4.92,4.64,3.21,6.98,3.98
63,SMU,CUSA (West),,7,6,-1.72,3.36,1.64,43.35,11.40,7.02,5.52,4.88,3.15,6.12,4.47
64,North Carolina State,ACC (Atlantic),,7,6,1.20,0.26,1.46,42.22,12.55,8.79,5.56,3.95,3.63,6.55,4.48
65,Louisiana-Monroe,Sun Belt,,8,5,3.57,-3.61,-0.03,45.84,17.42,7.99,6.32,4.72,3.40,6.52,4.82
66,Toledo,MAC (West),,9,4,3.00,-3.18,-0.18,41.55,17.50,8.37,6.70,5.27,4.59,6.79,5.59
67,Bowling Green,MAC (East),,8,5,-7.22,6.95,-0.27,32.04,8.85,7.22,5.30,4.75,3.12,6.03,4.08
68,Duke,ACC (Coastal),,6,7,5.48,-5.76,-0.28,46.97,21.48,8.53,7.16,4.64,4.23,6.71,5.49
69,California,Pac-12 (North),,3,9,-1.21,0.57,-0.65,40.88,14.23,8.77,5.42,5.80,3.54,7.17,4.37
70,Auburn,SEC (West),,3,9,-6.65,5.72,-0.92,36.35,9.37,8.97,5.18,5.35,3.82,6.68,4.35
71,Western Kentucky,Sun Belt,,7,6,-0.31,-1.19,-1.50,39.72,14.01,8.92,5.58,5.32,3.21,6.82,4.28
72,Purdue,Big Ten (Leaders),,6,7,0.85,-2.44,-1.58,43.58,16.54,7.87,5.47,5.33,3.92,6.61,4.66
73,Ball State,MAC (West),,9,4,3.36,-4.96,-1.60,43.08,19.31,7.25,6.69,5.14,4.36,6.24,5.31
74,Navy,Ind,,8,5,-4.64,2.88,-1.76,36.25,13.28,8.76,6.44,5.60,4.25,6.42,5.06
75,Middle Tennessee State,Sun Belt,,8,4,-1.48,-0.97,-2.45,38.40,17.59,8.63,6.72,5.18,4.09,6.70,5.27
76,Iowa,Big Ten (Legends),,4,8,-5.36,2.74,-2.62,34.82,8.43,7.37,6.39,4.53,3.22,5.88,4.54
77,Ohio,MAC (East),,9,4,-0.84,-1.92,-2.75,38.39,16.47,8.51,5.93,4.67,4.29,6.33,4.91
78,Minnesota,Big Ten (Legends),,6,7,-4.29,1.04,-3.25,37.30,11.33,8.08,4.98,4.73,3.77,6.12,4.29
79,Troy,Sun Belt,,5,7,2.25,-5.70,-3.45,42.67,18.67,8.78,6.81,4.95,4.04,7.01,5.24
80,Rice,CUSA (West),,7,6,0.99,-4.51,-3.52,40.98,17.48,8.07,7.30,4.65,4.48,6.09,5.60
81,Nevada,MWC,,7,6,7.57,-11.18,-3.60,48.34,23.26,8.73,6.08,5.63,4.43,6.96,5.14
82,Virginia,ACC (Coastal),,4,8,-3.97,0.13,-3.84,36.05,13.35,8.16,4.70,4.57,3.52,6.45,4.08
83,East Carolina,CUSA (East),,8,5,0.98,-5.21,-4.23,41.06,19.83,8.15,6.33,4.20,3.99,6.34,5.12
84,Kentucky,SEC (East),,2,10,-6.88,1.59,-5.29,35.47,14.26,7.19,5.53,5.40,3.01,6.24,4.05
85,Connecticut,Big East,,5,7,-9.80,4.45,-5.35,31.11,9.97,8.26,5.60,3.40,2.31,5.85,3.77
86,Indiana,Big Ten (Leaders),,4,8,5.05,-10.58,-5.53,45.78,24.43,8.29,7.15,4.73,4.36,6.74,5.50
87,Houston,CUSA (West),,5,7,1.01,-6.55,-5.54,41.64,21.58,7.39,5.94,4.84,4.08,6.38,4.81
88,Marshall,CUSA (East),,5,7,9.91,-15.94,-6.04,50.46,30.91,7.99,6.25,4.64,4.20,6.58,5.03
89,South Florida,Big East,,3,9,-5.09,-1.04,-6.13,34.84,13.80,7.66,6.59,5.10,2.81,6.39,4.34
90,Wake Forest,ACC (Atlantic),,5,7,-6.10,-0.10,-6.20,33.51,17.47,7.25,6.09,3.80,3.41,5.56,4.59
91,Maryland,ACC (Atlantic),,4,8,-6.07,-0.52,-6.59,33.57,12.68,8.56,5.14,3.51,2.84,5.56,3.82
92,Kansas,Big 12,,1,11,-7.26,0.56,-6.70,35.20,14.36,6.99,6.77,5.64,3.97,6.19,5.25
93,Boston College,ACC (Atlantic),,2,10,-5.75,-0.99,-6.74,35.30,14.96,8.19,5.04,4.06,3.83,6.38,4.42
94,Washington State,Pac-12 (North),,3,9,-2.75,-4.15,-6.89,37.50,17.91,8.15,6.38,2.15,3.31,6.26,4.65
95,Air Force,MWC,,6,7,-2.64,-4.71,-7.35,36.65,18.82,9.53,7.04,5.31,3.87,6.26,5.06
96,UTSA,WAC,,8,4,-1.27,-6.22,-7.49,36.81,21.08,8.01,7.12,4.57,3.14,6.21,5.13
97,Temple,Big East,,4,7,-1.50,-6.02,-7.52,39.91,21.46,7.21,7.44,5.83,4.29,6.34,5.42
98,Central Michigan,MAC (West),,7,6,0.73,-8.64,-7.91,38.53,24.27,8.49,6.90,5.03,4.49,6.83,5.48
99,Texas State,WAC,,4,8,-3.51,-4.52,-8.03,36.71,20.83,7.43,6.32,5.52,5.08,6.44,5.52
100,North Texas,Sun Belt,,4,8,-6.85,-1.56,-8.41,33.78,14.65,8.08,5.87,5.15,4.29,6.47,5.10
101,Buffalo,MAC (East),,4,8,-5.41,-3.37,-8.78,32.87,18.83,7.29,6.28,5.00,3.33,6.08,4.36
102,Florida International,Sun Belt,,3,9,-3.97,-5.14,-9.10,36.48,18.35,8.60,5.81,4.12,3.39,6.13,4.52
103,UTEP,CUSA (West),,3,9,-6.47,-2.82,-9.29,33.73,15.66,8.37,6.70,4.41,4.42,6.27,5.28
104,Western Michigan,MAC (West),,4,8,-1.41,-8.13,-9.54,38.62,22.13,7.56,7.03,4.83,3.59,6.43,5.10
105,Florida Atlantic,Sun Belt,,3,9,-5.88,-3.95,-9.83,34.22,18.25,7.94,6.85,4.07,3.94,6.04,4.97
106,New Mexico,MWC,,4,9,-6.08,-3.83,-9.91,35.00,19.17,6.80,7.24,5.93,4.96,6.46,6.06
107,Illinois,Big Ten (Leaders),,2,10,-12.42,2.07,-10.35,30.45,14.61,7.19,6.72,4.25,3.60,5.56,4.67
108,Wyoming,MWC,,4,8,-1.85,-8.93,-10.78,37.03,22.59,8.61,6.58,3.64,4.59,6.13,5.39
109,Memphis,CUSA (East),,4,8,-7.30,-3.80,-11.09,32.60,17.97,7.68,5.83,3.97,3.70,5.44,4.62
110,UAB,CUSA (East),,3,9,-3.52,-8.13,-11.66,38.49,24.47,8.82,7.29,3.74,4.29,6.51,5.42
111,Miami (OH),MAC (East),,4,8,-4.20,-7.50,-11.70,34.10,25.31,8.24,6.99,3.53,4.84,6.36,5.62
112,Colorado State,MWC,,4,8,-6.46,-6.08,-12.54,31.91,19.98,8.15,5.60,4.30,4.31,6.21,4.76
113,Colorado,Pac-12 (South),,1,11,-6.24,-6.42,-12.66,34.60,28.51,7.60,7.03,3.96,5.31,5.77,5.89
114,Hawaii,MWC,,3,9,-10.47,-3.28,-13.75,33.77,24.98,6.84,6.10,3.49,3.72,5.18,4.55
115,Army,Ind,,2,10,-3.33,-10.90,-14.23,35.44,25.86,7.75,8.50,6.06,4.75,6.44,6.09
116,Tulane,CUSA (West),,2,10,-6.46,-7.76,-14.23,34.07,25.38,7.24,7.23,2.46,4.66,5.61,5.59
117,Nevada-Las Vegas,MWC,,2,11,-7.96,-6.61,-14.57,31.91,20.99,7.10,7.19,4.69,4.18,5.96,5.24
118,South Alabama,Sun Belt,,2,11,-9.93,-5.34,-15.26,29.28,18.33,6.95,6.53,3.91,3.74,5.38,4.77
119,Akron,MAC (East),,1,11,-6.20,-9.11,-15.31,35.61,25.22,7.32,6.65,4.12,4.38,6.07,5.20
120,Eastern Michigan,MAC (West),,2,10,-7.28,-9.34,-16.61,32.35,26.97,7.53,6.69,4.91,5.45,6.04,5.91
121,Idaho,WAC,,1,11,-11.73,-5.65,-17.38,28.12,29.28,7.29,6.96,3.78,4.70,5.70,5.65
122,Southern Mississippi,CUSA (East),,0,12,-9.19,-8.85,-18.04,31.89,23.80,7.69,6.47,4.36,4.53,5.79,5.18
123,New Mexico State,WAC,,1,11,-9.83,-9.17,-19.00,29.80,28.55,8.03,6.96,3.39,5.07,5.76,5.83
124,Massachusetts,MAC (East),,1,11,-15.59,-5.37,-20.97,24.50,29.40,6.12,6.89,3.37,4.86,4.89,5.50
