,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Alabama,SEC (West),1,13,1,6.53,17.98,24.51,56.70,-6.37,11.00,4.01,6.85,1.25,8.40,2.58
2,Oregon,Pac-12 (North),2,12,1,17.21,6.22,23.43,66.16,4.82,9.50,4.11,6.82,3.40,7.89,3.67
3,Texas A&M,SEC (West),5,11,2,14.01,6.05,20.05,61.72,4.75,10.11,5.18,7.19,2.66,8.52,3.93
4,Georgia,SEC (East),5,12,2,9.85,8.08,17.93,55.36,3.91,11.94,5.16,6.10,3.05,8.68,3.89
5,Florida,SEC (East),9,11,2,2.27,15.09,17.35,44.83,-3.59,8.56,3.56,5.81,1.82,6.84,2.77
6,Notre Dame,Ind,4,12,1,1.84,15.15,16.98,46.37,-3.13,9.62,4.26,6.04,2.51,7.62,3.43
7,Kansas State,Big 12,12,11,2,7.52,9.40,16.92,55.19,1.19,9.96,5.06,5.66,2.53,7.35,3.80
8,South Carolina,SEC (East),8,11,2,5.03,10.94,15.97,47.98,1.36,10.13,4.70,4.83,2.22,7.09,3.20
9,Stanford,Pac-12 (North),7,12,2,2.47,13.11,15.58,45.37,-1.84,8.74,4.13,5.27,2.26,6.81,3.22
10,LSU,SEC (West),14,10,3,5.49,9.27,14.76,48.11,1.65,9.07,3.95,5.50,1.96,6.95,3.04
11,Clemson,ACC (Atlantic),11,11,2,13.72,1.04,14.75,56.81,11.70,10.62,5.74,5.22,3.69,7.67,4.70
12,Oklahoma,Big 12,15,10,3,9.05,5.27,14.32,56.14,5.05,8.99,4.49,5.98,3.88,7.69,4.13
13,Ohio State,Big Ten (Leaders),3,12,0,9.92,3.89,13.81,52.34,8.68,9.36,4.98,5.96,2.84,7.24,3.96
14,Florida State,ACC (Atlantic),10,12,2,3.12,10.44,13.56,52.92,2.29,10.12,3.57,6.51,2.28,8.18,2.94
15,Oklahoma State,Big 12,,8,5,11.19,2.31,13.50,61.44,7.90,9.93,4.99,6.31,2.52,8.10,3.78
16,Oregon State,Pac-12 (North),20,9,4,4.20,7.94,12.14,50.84,2.50,9.81,4.60,4.63,3.18,7.40,3.90
17,Baylor,Big 12,,8,5,18.47,-7.25,11.22,61.80,17.41,10.65,5.91,6.13,3.50,8.16,4.69
18,Texas,Big 12,19,9,4,8.01,3.18,11.18,53.20,8.37,9.99,6.08,5.55,3.53,7.54,4.38
19,Utah State,WAC,16,11,2,1.91,8.80,10.71,44.65,4.71,9.10,4.69,5.97,2.65,7.48,3.57
20,USC,Pac-12 (South),,7,6,5.71,4.82,10.53,49.33,6.07,9.84,5.06,5.84,3.08,8.00,4.03
21,Michigan,Big Ten (Legends),24,8,5,3.66,6.35,10.01,48.69,5.84,10.02,5.32,5.91,2.87,7.59,3.94
22,Vanderbilt,SEC (East),23,9,4,0.53,9.35,9.88,45.76,4.84,9.62,4.37,5.19,3.15,7.03,3.72
23,Nebraska,Big Ten (Legends),25,10,4,8.87,0.91,9.79,53.34,12.38,9.49,4.31,6.45,3.80,7.62,4.08
24,Wisconsin,Big Ten (Leaders),,8,6,3.26,6.51,9.77,46.73,4.58,9.42,4.51,6.12,3.03,7.29,3.76
25,Penn State,Big Ten (Leaders),,8,4,2.14,7.56,9.70,43.70,5.17,8.60,5.18,4.26,2.53,6.43,3.94
26,Arizona,Pac-12 (South),,8,5,10.75,-1.37,9.38,54.74,16.40,8.99,5.93,6.15,3.68,7.56,4.66
27,Arizona State,Pac-12 (South),,8,5,6.85,2.15,9.00,53.29,8.86,9.56,4.11,5.18,3.63,7.08,3.67
28,Northwestern,Big Ten (Legends),17,10,3,6.82,2.14,8.97,48.42,9.92,7.58,5.29,5.85,3.14,6.59,4.29
29,BYU,Ind,,8,5,-0.67,9.44,8.77,42.67,1.98,7.90,4.65,4.74,2.54,6.33,3.44
30,UCLA,Pac-12 (South),,9,5,6.16,2.59,8.75,50.62,9.25,9.54,5.64,5.26,3.39,7.24,4.28
31,Cincinnati,Big East,,10,3,3.62,5.09,8.71,44.14,8.85,9.29,5.48,6.04,3.53,7.52,4.46
32,Ole Miss,SEC (West),,7,6,8.22,0.21,8.43,49.89,11.02,9.55,5.32,5.23,2.52,7.13,3.82
33,San Jose State,WAC,21,11,2,5.23,2.67,7.90,46.38,11.18,10.39,5.67,3.86,3.04,7.20,4.33
34,Boise State,MWC,18,11,2,0.47,7.38,7.85,41.93,5.80,8.66,5.09,4.99,3.41,6.76,3.97
35,Texas Christian,Big 12,,7,6,1.18,6.31,7.49,45.55,3.32,9.18,5.08,4.93,2.15,6.80,3.55
36,UCF,CUSA (East),,10,4,2.85,3.81,6.65,46.15,9.01,8.77,5.59,5.46,3.64,6.99,4.46
37,Fresno State,MWC,,9,4,4.58,1.76,6.33,48.35,11.51,9.00,4.85,4.54,3.44,6.95,4.03
38,Louisiana Tech,WAC,,9,3,20.90,-14.57,6.33,62.44,27.98,8.84,7.23,5.70,4.28,7.35,5.69
39,Texas Tech,Big 12,,8,5,7.58,-1.25,6.33,53.50,13.67,9.00,5.38,5.32,3.15,7.48,4.03
40,Syracuse,Big East,,8,5,5.26,1.01,6.27,45.62,11.81,9.27,6.37,5.49,3.30,7.26,4.63
41,Tulsa,CUSA (West),,11,3,4.33,1.91,6.24,46.87,10.67,7.20,5.74,5.53,2.86,6.29,4.01
42,Michigan State,Big Ten (Legends),,7,6,-4.34,10.55,6.21,37.28,0.58,7.58,3.85,4.80,2.20,6.15,3.14
43,Mississippi State,SEC (West),,8,5,0.79,5.36,6.15,45.32,7.47,8.76,5.33,5.61,3.12,7.16,4.11
44,Louisville,Big East,13,11,2,6.37,-0.49,5.88,45.93,13.61,9.78,5.44,4.53,3.62,7.20,4.45
45,Missouri,SEC (East),,5,7,2.86,2.68,5.54,45.93,8.68,8.36,4.97,4.99,2.64,6.62,3.82
