,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Stanford,Pac-10,4,12,1,11.33,10.47,21.80,57.05,1.05,10.67,4.71,6.18,2.84,8.05,3.80
2,Oregon,Pac-10,3,12,1,13.04,8.50,21.54,62.63,2.86,9.71,4.03,6.90,2.58,8.01,3.34
3,Auburn,SEC (West),1,14,0,16.15,4.52,20.66,57.89,7.05,11.88,4.87,7.48,2.23,8.86,3.82
4,Boise State,WAC,9,12,1,5.85,12.84,18.69,56.41,0.64,11.12,3.70,5.69,2.52,8.26,2.92
5,Alabama,SEC (West),10,10,3,4.12,14.19,18.31,50.89,-2.21,11.08,4.11,6.26,2.24,8.27,3.16
6,Texas Christian,MWC,2,13,0,5.64,12.32,17.96,52.79,0.79,10.25,3.53,5.86,2.73,7.55,3.13
7,Ohio State,Big Ten,5,12,1,4.66,12.70,17.37,50.69,1.07,9.73,3.87,5.98,2.14,7.43,3.09
8,Oklahoma,Big 12 (South),6,12,2,10.21,6.91,17.11,52.90,6.15,9.37,4.54,4.22,3.08,6.86,3.84
9,Oklahoma State,Big 12 (South),13,11,2,15.10,1.53,16.62,56.90,11.50,9.82,4.72,5.69,2.89,7.88,3.84
10,LSU,SEC (West),8,11,2,6.33,8.80,15.13,46.30,3.27,8.61,4.39,5.86,2.71,6.80,3.45
11,Arkansas,SEC (West),12,10,3,11.35,3.13,14.48,53.11,8.27,11.18,5.08,5.92,2.91,8.57,3.87
12,Florida State,ACC (Atlantic),17,10,4,6.93,7.27,14.20,48.37,5.08,9.32,5.23,6.07,2.66,7.42,3.90
13,Virginia Tech,ACC (Coastal),16,11,3,7.39,6.64,14.03,47.69,5.63,9.87,5.23,5.81,3.85,7.33,4.48
14,Wisconsin,Big Ten,7,11,2,9.19,4.83,14.02,53.90,7.70,10.77,5.15,6.28,3.33,7.74,4.21
15,Missouri,Big 12 (North),18,10,3,3.09,10.89,13.98,43.74,2.40,8.24,4.59,5.40,3.62,6.80,4.06
16,South Carolina,SEC (East),22,9,5,5.77,7.20,12.97,46.95,5.21,10.29,5.16,5.44,2.00,7.45,3.68
17,Nebraska,Big 12 (North),20,10,4,4.04,8.81,12.85,44.00,4.04,9.04,4.39,6.04,3.38,7.15,3.68
18,Nevada,WAC,11,13,1,11.09,0.87,11.96,51.76,12.21,9.87,5.80,6.55,3.82,7.89,4.82
19,Texas A&M,Big 12 (South),19,9,4,5.10,6.28,11.39,45.83,6.45,8.67,4.51,4.90,2.59,6.75,3.54
20,North Carolina State,ACC (Atlantic),25,9,4,6.34,4.66,11.00,46.75,7.89,8.34,5.85,4.63,2.42,6.51,4.19
21,Notre Dame,Ind,,8,5,3.15,7.20,10.35,42.15,4.70,8.27,4.44,5.05,2.71,6.68,3.76
22,Iowa,Big Ten,,8,5,1.62,8.53,10.15,42.00,3.27,9.89,4.62,4.94,2.40,7.12,3.73
23,Michigan State,Big Ten,14,11,2,4.40,5.51,9.91,43.32,9.51,9.64,5.03,5.27,3.04,7.22,4.13
24,USC,Pac-10,,8,5,8.08,1.48,9.57,48.76,8.84,8.73,5.40,6.21,3.44,7.41,4.43
25,West Virginia,Big East,,9,4,-0.85,10.36,9.51,39.06,2.36,8.70,4.80,5.06,2.06,6.58,3.44
26,Florida,SEC (East),,8,5,5.35,3.95,9.30,47.23,7.53,8.05,4.27,5.58,2.58,6.60,3.38
27,Mississippi State,SEC (West),15,9,4,0.13,8.98,9.11,41.55,2.86,9.77,4.69,5.55,2.20,6.91,3.58
28,Arizona State,Pac-10,,6,6,6.84,1.58,8.42,48.50,8.33,9.06,5.16,4.92,2.14,7.06,3.68
29,Utah,MWC,,10,3,2.92,5.38,8.30,46.65,8.56,9.47,6.05,5.27,2.80,7.32,4.31
30,Miami (FL),ACC (Coastal),,7,6,2.12,6.14,8.26,43.01,6.47,8.73,4.46,5.97,3.13,7.19,3.63
31,Arizona,Pac-10,,7,6,2.76,5.38,8.14,45.09,4.88,9.47,4.82,5.00,2.49,7.33,3.55
32,Illinois,Big Ten,,7,6,5.51,2.26,7.77,44.93,10.16,8.23,5.36,5.79,2.93,6.60,4.18
33,Oregon State,Pac-10,,5,7,4.57,3.03,7.60,44.86,6.54,8.89,5.61,4.95,2.92,6.85,4.00
34,Pitt,Big East,,8,5,1.76,5.64,7.40,41.32,7.01,8.80,4.93,5.66,2.58,7.01,3.70
35,Clemson,ACC (Atlantic),,6,7,0.21,7.14,7.35,39.65,4.78,7.90,5.00,5.25,2.33,6.37,3.61
36,Maryland,ACC (Atlantic),23,9,4,2.77,4.25,7.02,45.31,9.30,8.59,4.64,5.08,2.49,6.67,3.70
37,Air Force,MWC,,9,4,4.05,2.82,6.87,42.52,9.84,10.51,4.39,5.84,4.29,6.94,4.37
38,Hawaii,WAC,,10,4,5.69,0.86,6.55,49.28,14.04,9.99,5.59,5.11,3.23,8.24,4.31
39,Georgia,SEC (East),,6,7,2.63,3.72,6.35,46.79,7.92,10.36,5.51,5.26,2.74,7.43,3.84
40,San Diego State,MWC,,9,4,6.72,-0.66,6.07,45.73,12.94,10.34,4.82,4.97,3.32,7.65,4.17
41,UCF,CUSA (East),21,11,3,-1.62,7.41,5.79,38.42,6.85,9.66,5.09,4.97,2.96,6.51,4.02
42,Washington,Pac-10,,7,6,2.45,3.11,5.55,41.88,11.44,8.75,5.35,5.82,3.51,7.12,4.23
43,California,Pac-10,,5,7,-2.22,7.57,5.35,42.38,4.59,7.92,4.38,5.41,2.55,6.50,3.35
44,North Carolina,ACC (Coastal),,8,5,1.09,4.06,5.15,39.31,8.72,9.44,5.03,4.57,2.81,6.92,3.94
45,Tulsa,CUSA (West),24,10,3,8.93,-3.97,4.95,47.79,18.54,8.99,7.08,5.76,3.53,7.21,5.29
46,Northern Illinois,MAC (West),,11,3,2.35,1.96,4.32,44.90,12.99,8.71,5.92,6.59,3.76,7.43,4.84
47,Kansas State,Big 12 (North),,7,6,8.07,-3.96,4.11,47.69,17.89,9.48,5.96,5.39,5.13,6.93,5.51
48,Navy,Ind,,9,4,1.01,2.47,3.49,39.38,11.23,11.28,5.63,5.94,3.99,7.06,4.79
49,Texas Tech,Big 12 (South),,8,5,5.87,-2.82,3.06,45.40,17.29,8.28,6.06,4.89,3.59,6.77,4.76
50,Penn State,Big Ten,,7,6,0.10,2.87,2.96,38.71,9.87,8.60,4.96,5.15,3.59,6.72,4.22
51,Louisville,Big East,,7,6,-2.23,4.94,2.71,38.71,8.52,8.03,5.23,5.93,3.31,6.83,4.11
52,Boston College,ACC (Atlantic),,7,6,-4.98,7.12,2.15,32.92,5.83,7.84,4.58,4.65,1.85,5.94,3.42
53,South Florida,Big East,,8,5,-0.69,2.85,2.15,38.53,10.02,8.18,5.25,4.94,2.67,6.27,3.91
54,Kentucky,SEC (East),,6,7,4.66,-2.78,1.88,45.08,15.60,9.09,5.68,5.71,3.51,7.34,4.46
55,Southern Mississippi,CUSA (East),,8,5,7.93,-6.14,1.79,44.43,19.39,7.87,6.30,5.24,3.06,6.41,4.74
56,Tennessee,SEC (East),,6,7,-0.61,2.38,1.78,41.69,10.18,9.47,5.02,4.69,3.09,7.06,4.10
57,Texas,Big 12 (South),,5,7,-2.82,4.53,1.71,36.60,8.83,7.74,4.84,4.79,2.82,6.26,3.51
58,Connecticut,Big East,,8,5,0.12,1.52,1.63,39.94,12.04,6.88,5.43,5.64,3.22,6.16,4.34
59,Baylor,Big 12 (South),,7,6,3.47,-1.85,1.62,43.64,16.31,9.22,6.14,6.29,3.88,7.71,4.96
60,Michigan,Big Ten,,7,6,9.12,-7.71,1.41,48.29,22.10,10.22,6.96,6.63,3.62,7.99,5.09
61,BYU,MWC,,7,6,-2.61,3.94,1.33,38.16,9.01,7.47,4.71,4.62,3.19,5.98,3.97
62,Syracuse,Big East,,8,5,-2.91,4.22,1.30,34.61,9.87,7.69,4.91,5.00,2.87,6.18,3.82
63,Georgia Tech,ACC (Coastal),,6,7,0.55,0.24,0.80,39.09,12.98,7.90,5.82,6.34,3.80,6.81,4.72
64,Colorado,Big 12 (North),,5,7,1.42,-0.68,0.75,39.00,15.31,8.28,6.46,4.29,3.22,6.19,4.70
65,UCLA,Pac-10,,4,8,-2.55,3.18,0.62,37.71,10.84,7.18,5.19,5.37,4.09,6.15,4.50
66,Iowa State,Big 12 (North),,5,7,-1.37,1.80,0.43,36.76,14.36,7.11,5.72,4.52,3.62,5.68,4.46
67,Fresno State,WAC,,8,5,2.72,-2.54,0.18,39.32,16.88,9.10,5.72,4.38,3.80,6.42,4.57
68,Northwestern,Big Ten,,7,6,0.90,-2.34,-1.44,38.08,17.44,9.13,5.45,4.45,4.57,6.29,5.05
69,Ole Miss,SEC (West),,4,8,6.06,-7.88,-1.83,44.54,20.97,8.65,6.41,6.07,3.49,7.09,4.90
70,Cincinnati,Big East,,4,8,1.20,-3.13,-1.93,42.48,16.61,8.72,6.46,5.82,3.00,7.25,4.52
71,SMU,CUSA (West),,7,7,-3.05,1.01,-2.04,34.58,12.81,8.60,5.20,5.28,2.99,7.03,4.06
72,Houston,CUSA (West),,5,7,6.65,-8.76,-2.11,46.82,22.36,9.04,6.14,5.21,4.18,7.20,5.01
73,Army,Ind,,7,6,-0.68,-1.75,-2.43,35.69,15.56,8.44,6.53,4.96,3.70,5.67,4.99
74,Idaho,WAC,,6,7,-1.41,-1.36,-2.77,36.39,17.42,8.19,5.46,3.28,4.62,6.18,4.93
75,Virginia,ACC (Coastal),,4,8,-1.10,-2.20,-3.29,37.80,16.31,8.48,6.30,4.75,4.16,6.58,5.02
76,Temple,MAC (East),,8,4,-4.50,1.11,-3.39,33.50,13.95,8.31,5.56,4.73,3.53,6.18,4.41
77,Louisiana Tech,WAC,,5,7,0.50,-4.20,-3.70,37.74,17.99,7.61,6.13,4.80,3.83,6.14,4.92
78,Toledo,MAC (West),,8,5,-0.69,-3.02,-3.70,37.46,19.56,8.13,5.63,4.85,3.58,6.29,4.61
79,Troy,Sun Belt,,8,5,2.19,-6.29,-4.10,40.76,22.59,8.30,6.46,4.73,4.17,6.62,5.19
80,Western Michigan,MAC (West),,6,6,-1.47,-2.63,-4.10,39.33,17.13,8.12,6.91,4.21,4.19,6.27,5.26
81,Washington State,Pac-10,,2,10,-2.04,-2.15,-4.20,37.46,17.38,9.44,6.53,3.82,4.35,6.46,5.21
82,East Carolina,CUSA (East),,6,7,11.27,-15.75,-4.48,48.83,31.90,7.72,6.38,5.34,4.63,6.72,5.45
83,Indiana,Big Ten,,5,7,0.74,-5.22,-4.49,38.53,22.15,7.96,6.97,4.22,4.17,6.34,5.60
84,Duke,ACC (Coastal),,3,9,2.64,-7.23,-4.59,40.83,22.77,8.33,7.09,4.38,3.75,6.45,5.25
85,Florida International,Sun Belt,,7,6,0.10,-4.81,-4.71,37.11,19.19,8.17,5.79,5.28,4.40,6.55,4.97
86,Minnesota,Big Ten,,3,9,0.37,-5.43,-5.06,38.13,18.87,8.94,7.05,4.54,4.14,6.46,5.39
87,Wake Forest,ACC (Atlantic),,3,9,-0.88,-4.20,-5.07,39.15,21.79,7.25,5.71,5.26,3.67,5.99,4.74
88,Purdue,Big Ten,,4,8,-5.98,0.80,-5.18,31.32,14.94,6.37,5.50,5.05,2.70,5.56,4.10
89,Ohio,MAC (East),,8,5,-2.30,-3.49,-5.79,33.36,19.10,8.63,6.85,4.77,3.57,6.16,5.04
90,Miami (OH),MAC (East),,10,4,-6.14,0.27,-5.86,29.84,16.56,8.00,6.36,3.59,3.69,5.95,4.97
91,Rutgers,Big East,,4,8,-3.75,-3.02,-6.76,34.34,16.37,8.66,6.77,3.71,3.39,5.78,4.93
92,Arkansas State,Sun Belt,,4,8,0.56,-8.01,-7.45,37.85,22.23,8.05,6.88,4.60,3.90,6.33,5.06
93,Utah State,WAC,,4,8,-3.18,-4.46,-7.64,33.90,20.17,8.20,5.63,4.29,4.58,5.86,4.91
94,UTEP,CUSA (West),,6,7,-4.82,-3.31,-8.13,31.65,19.10,7.55,5.75,4.76,4.53,6.16,5.02
95,Kansas,Big 12 (North),,3,9,-8.02,-0.59,-8.61,29.59,20.40,6.93,6.65,3.95,4.10,5.24,5.13
96,Kent State,MAC (East),,5,7,-7.50,-1.32,-8.82,29.82,17.49,6.94,5.56,4.04,2.56,5.49,4.07
97,UAB,CUSA (East),,4,8,-1.29,-7.91,-9.20,35.09,22.25,7.96,6.10,5.25,3.81,6.60,4.92
98,Wyoming,MWC,,3,9,-6.56,-2.76,-9.31,31.64,18.05,8.53,6.22,4.22,4.07,6.11,4.81
99,Vanderbilt,SEC (East),,2,10,-10.40,0.82,-9.57,30.21,15.10,6.90,5.99,4.87,3.34,5.76,4.46
100,Marshall,CUSA (East),,5,7,-6.50,-3.23,-9.73,30.10,18.95,7.39,5.41,4.08,3.40,5.81,4.43
101,Central Michigan,MAC (West),,3,9,-5.37,-4.37,-9.74,32.52,17.70,7.97,5.60,3.36,4.08,5.85,4.87
102,Middle Tennessee State,Sun Belt,,6,7,-3.79,-6.81,-10.59,31.69,23.06,7.00,5.79,4.69,4.03,5.73,4.63
103,Colorado State,MWC,,3,9,-8.99,-1.87,-10.86,28.88,22.19,8.25,7.16,3.97,4.59,6.09,5.51
104,Louisiana-Monroe,Sun Belt,,5,7,-7.50,-3.54,-11.04,28.95,22.34,7.86,5.89,3.51,3.67,5.55,4.68
105,Rice,CUSA (West),,4,8,0.06,-11.14,-11.08,37.06,26.90,8.39,7.50,4.23,3.23,6.00,5.32
106,Nevada-Las Vegas,MWC,,2,11,-6.25,-5.61,-11.86,32.72,24.90,8.01,7.06,3.63,4.53,5.57,5.35
107,San Jose State,WAC,,1,12,-8.71,-3.69,-12.40,28.17,20.59,8.47,6.24,3.40,4.39,6.13,5.15
108,Tulane,CUSA (West),,4,8,-3.93,-9.50,-13.42,33.30,26.60,7.17,6.06,4.22,4.42,5.67,5.14
109,North Texas,Sun Belt,,3,9,-6.78,-7.40,-14.18,30.37,21.73,7.42,6.71,5.29,4.46,6.21,5.40
110,Ball State,MAC (West),,4,8,-6.59,-8.24,-14.83,28.88,25.31,6.72,7.14,4.63,4.37,5.46,5.52
111,Western Kentucky,Sun Belt,,2,10,-7.00,-8.37,-15.37,30.65,24.74,6.87,6.22,4.61,4.62,5.56,5.24
112,Florida Atlantic,Sun Belt,,4,8,-11.47,-4.43,-15.90,24.46,21.37,8.45,6.49,3.31,4.13,5.72,4.93
113,Bowling Green,MAC (East),,2,10,-7.30,-9.46,-16.76,29.62,25.40,6.96,6.23,2.74,5.01,5.05,5.46
114,Louisiana,Sun Belt,,3,9,-6.93,-9.98,-16.92,29.71,27.22,7.84,6.56,3.33,3.83,5.69,5.05
115,New Mexico,MWC,,1,11,-8.77,-9.00,-17.76,28.52,31.11,6.77,6.60,3.39,4.66,4.96,5.30
116,New Mexico State,WAC,,2,10,-10.39,-7.74,-18.13,25.84,27.60,6.77,6.39,3.76,5.53,5.18,5.77
117,Eastern Michigan,MAC (West),,2,10,-7.24,-11.83,-19.07,29.65,35.90,7.83,8.12,4.67,5.71,5.84,6.68
118,Buffalo,MAC (East),,2,10,-14.70,-4.50,-19.20,21.30,21.37,5.98,5.95,3.36,3.31,4.62,4.39
119,Memphis,CUSA (East),,1,11,-13.88,-5.55,-19.43,24.55,27.25,8.29,8.13,3.57,3.54,5.70,5.56
120,Akron,MAC (East),,1,11,-12.16,-9.38,-21.54,24.51,28.35,6.19,8.21,4.07,3.97,5.06,5.78
