,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Indiana,Big Ten,1,16,0,10.06,15.42,25.48,64.98,-9.07,11.90,3.97,7.03,1.32,8.85,2.92
2,Ohio State,Big Ten,5,12,2,5.96,17.12,23.08,55.64,-11.42,11.32,3.03,6.28,1.30,8.46,2.22
3,Notre Dame,Ind,10,10,2,11.67,10.19,21.85,61.92,-3.92,11.45,3.68,7.39,1.24,9.02,2.58
4,Texas Tech,Big 12,7,12,2,6.67,14.39,21.06,57.51,-6.47,9.84,3.69,6.32,0.37,7.91,2.22
5,Oregon,Big Ten,4,13,2,11.08,9.51,20.60,59.96,-3.74,10.81,3.32,7.32,1.78,8.71,2.62
6,Miami (FL),ACC,2,13,3,6.76,13.72,20.48,53.08,-8.66,10.52,3.68,6.31,0.98,8.16,2.49
7,Texas A&M,SEC,8,11,2,11.49,6.12,17.62,55.06,0.02,10.41,3.84,6.89,2.33,8.38,3.13
8,Utah,Big 12,14,11,2,11.05,6.43,17.48,59.77,0.92,9.62,4.27,7.65,3.12,8.39,3.68
9,Georgia,SEC,6,12,2,7.53,9.79,17.33,51.17,-3.50,9.13,4.41,6.19,1.29,7.38,3.05
10,Ole Miss,SEC,3,13,2,11.72,4.49,16.20,58.65,3.13,10.86,4.53,6.72,2.67,8.61,3.58
11,BYU,Big 12,11,12,2,7.77,7.79,15.57,52.10,-1.23,9.71,4.40,6.62,2.03,7.87,3.27
12,USC,Big Ten,20,9,4,10.14,4.57,14.71,56.85,1.69,11.46,4.58,6.79,2.61,8.98,3.64
13,Vanderbilt,SEC,15,10,3,12.28,2.38,14.67,58.42,4.30,11.39,5.43,7.61,2.08,9.43,3.94
14,Iowa,Big Ten,17,9,4,4.06,9.80,13.86,49.35,-4.96,8.36,3.64,6.01,1.88,6.78,2.84
15,Alabama,SEC,9,11,4,5.53,7.77,13.30,53.35,-1.45,9.78,4.25,5.75,1.96,7.77,3.05
16,Oklahoma,SEC,13,10,3,1.65,11.53,13.18,46.62,-5.22,9.32,4.18,5.46,0.79,7.29,2.50
17,Washington,Big Ten,,9,4,6.95,6.05,13.00,54.53,0.75,10.78,4.13,6.01,1.81,8.04,3.18
18,Texas,SEC,12,10,3,5.20,7.28,12.48,50.69,-0.15,9.62,4.40,6.13,1.21,7.81,2.93
19,Illinois,Big Ten,,9,4,5.56,6.23,11.79,50.74,2.12,10.15,4.17,5.49,2.36,7.46,3.42
20,Arizona,Big 12,,9,4,4.02,7.24,11.27,49.02,1.33,9.09,3.76,5.83,2.30,7.37,2.95
21,SMU,ACC,,9,4,7.02,4.05,11.07,49.87,3.21,10.10,5.21,5.87,2.12,8.01,3.71
22,Michigan,Big Ten,21,9,4,4.97,6.06,11.03,50.87,0.69,9.40,4.06,7.46,1.94,8.13,3.14
23,Virginia,ACC,16,11,3,5.07,5.94,11.01,47.89,2.23,8.67,5.05,6.21,1.92,7.31,3.38
