,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Florida State,ACC (Atlantic),1,14,0,8.57,14.79,23.36,66.14,-1.04,11.12,3.83,6.38,2.52,8.64,3.07
2,Oregon,Pac-12 (North),9,11,2,12.56,8.70,21.27,62.18,3.32,11.01,4.24,7.23,3.06,8.86,3.44
3,Alabama,SEC (West),7,11,2,5.72,14.35,20.06,54.17,-1.30,10.12,5.21,6.72,2.12,8.27,3.52
4,Missouri,SEC (East),5,12,2,11.89,8.08,19.97,55.06,4.80,9.08,4.94,6.52,2.95,7.67,4.02
5,Stanford,Pac-12 (North),11,11,3,5.99,12.97,18.96,50.74,-1.97,10.57,4.59,6.04,1.88,7.75,3.30
6,Auburn,SEC (West),2,12,2,13.60,5.21,18.80,57.88,5.89,10.21,5.67,7.41,3.30,8.32,4.40
7,Arizona State,Pac-12 (South),21,10,4,13.67,3.83,17.50,59.77,7.46,9.54,5.57,5.61,2.86,7.38,4.01
8,UCLA,Pac-12 (South),16,10,3,10.15,6.95,17.10,54.70,4.91,9.99,4.76,5.41,2.96,7.38,3.72
9,Baylor,Big 12,13,11,2,12.51,4.35,16.87,66.98,9.97,11.89,5.33,6.01,2.99,8.56,3.91
10,Oklahoma State,Big 12,17,10,3,10.19,6.64,16.83,55.07,5.91,9.03,4.50,5.27,2.87,7.13,3.66
11,South Carolina,SEC (East),4,11,2,7.99,8.07,16.06,52.47,3.92,10.27,5.46,5.90,3.15,7.75,4.15
12,Ohio State,Big Ten (Leaders),12,12,2,10.77,4.87,15.65,59.32,8.52,8.83,5.92,7.90,2.67,8.25,4.35
13,Washington,Pac-12 (North),25,9,4,6.41,8.71,15.12,54.15,3.14,9.64,4.15,6.08,3.23,7.59,3.54
14,Clemson,ACC (Atlantic),8,11,2,9.21,5.77,14.98,55.77,6.57,10.10,5.57,5.29,2.61,7.57,3.83
15,Michigan State,Big Ten (Legends),3,13,1,1.23,13.51,14.74,43.26,0.00,8.04,4.06,5.16,2.02,6.43,3.07
16,LSU,SEC (West),14,10,3,8.87,5.72,14.59,52.58,6.89,11.33,5.04,6.03,2.70,8.12,3.74
17,Wisconsin,Big Ten (Leaders),22,9,4,2.69,11.51,14.20,49.17,1.42,8.25,5.01,7.48,2.28,7.81,3.68
18,USC,Pac-12 (South),19,10,4,4.08,9.65,13.72,46.42,2.12,9.45,4.29,5.75,3.22,7.36,3.65
19,Texas A&M,SEC (West),18,9,4,16.81,-3.43,13.38,60.55,16.30,10.62,6.13,6.17,4.19,8.48,5.08
20,Oklahoma,Big 12,6,11,2,6.42,6.77,13.19,49.25,5.80,8.50,5.42,6.05,3.40,7.16,4.27
21,Georgia,SEC (East),,8,5,13.03,-0.21,12.82,55.52,11.35,10.42,6.01,5.63,2.48,7.96,4.08
22,Arizona,Pac-12 (South),,8,5,5.72,6.89,12.60,49.17,6.16,8.02,5.04,6.31,3.21,7.03,3.93
23,Ole Miss,SEC (West),,8,5,4.24,6.19,10.42,45.72,5.60,8.72,5.15,5.67,2.63,7.13,3.78
24,BYU,Ind,,8,5,5.85,4.38,10.23,47.90,6.67,8.01,4.81,6.30,2.77,7.06,3.72
